nome,aluno_no_momento,anos_matriculados,ano_de_entrada,ano_de_saida,aluno_em_2016,aluno_em_2017,aluno_em_2018,aluno_em_2019,aluno_em_2020,fase_em_2020,aluno_em_2021,fase_em_2021,aluno_em_2022,fase_em_2022
ALUNO-1018,False,1,2020,2020.0,False,False,False,False,True,5.0,False,,False,
ALUNO-1019,False,1,2020,2020.0,False,False,False,False,True,5.0,False,,False,
ALUNO-1020,False,1,2017,2020.0,False,True,True,True,True,8.0,False,,False,
ALUNO-1021,False,1,2019,2020.0,False,False,False,True,True,2.0,False,,False,
ALUNO-1022,True,3,2020,,False,False,False,False,True,0.0,True,1.0,True,1.0
ALUNO-1023,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1024,False,1,2020,2020.0,False,False,False,False,True,5.0,False,,False,
ALUNO-1025,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1026,True,2,2021,,False,False,False,False,False,,True,3.0,True,3.0
ALUNO-1027,False,2,2016,2021.0,True,True,True,True,True,5.0,True,6.0,False,
ALUNO-1028,True,3,2019,,False,False,False,True,True,2.0,True,2.0,True,3.0
ALUNO-1029,True,3,2019,,False,False,False,True,True,1.0,True,2.0,True,3.0
ALUNO-1030,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1031,True,3,2020,,False,False,False,False,True,0.0,True,1.0,True,1.0
ALUNO-1032,False,1,2021,2021.0,False,False,False,False,False,,True,1.0,False,
ALUNO-1033,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1034,True,3,2019,,False,False,False,True,True,2.0,True,2.0,True,2.0
ALUNO-1035,False,2,2020,2021.0,False,False,False,False,True,1.0,True,1.0,False,
ALUNO-1036,False,1,2020,2020.0,False,False,False,False,True,1.0,False,,False,
ALUNO-1037,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1038,True,2,2021,,False,False,False,False,False,,True,4.0,True,5.0
ALUNO-1039,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1040,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1041,False,1,2019,2020.0,False,False,False,True,True,3.0,False,,False,
ALUNO-1042,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1043,False,1,2021,2021.0,False,False,False,False,False,,True,0.0,False,
ALUNO-1044,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1045,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1046,False,1,2018,2020.0,False,False,True,True,True,3.0,False,,False,
ALUNO-1047,False,1,2018,2020.0,False,False,True,True,True,4.0,False,,False,
ALUNO-1048,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1049,True,2,2021,,False,False,False,False,False,,True,1.0,True,1.0
ALUNO-1050,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1051,True,3,2019,,False,False,False,True,True,3.0,True,3.0,True,3.0
ALUNO-1052,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1053,True,1,2022,,False,False,False,False,False,,False,,True,5.0
ALUNO-1054,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1055,True,2,2021,,False,False,False,False,False,,True,3.0,True,4.0
ALUNO-1056,False,1,2019,2020.0,False,False,False,True,True,3.0,False,,False,
ALUNO-1057,True,2,2021,,False,False,False,False,False,,True,3.0,True,3.0
ALUNO-1058,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1059,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1060,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1061,False,1,2018,2020.0,False,False,True,True,True,2.0,False,,False,
ALUNO-1062,True,1,2022,,False,False,False,False,False,,False,,True,5.0
ALUNO-1063,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1064,False,1,2021,2021.0,False,False,False,False,False,,True,0.0,False,
ALUNO-1065,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1066,True,2,2021,,False,False,False,False,False,,True,3.0,True,4.0
ALUNO-1067,True,3,2018,,False,False,True,True,True,0.0,True,1.0,True,2.0
ALUNO-1068,True,2,2021,,False,False,False,False,False,,True,6.0,True,7.0
ALUNO-1069,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1070,True,3,2019,,False,False,False,True,True,0.0,True,1.0,True,1.0
ALUNO-1071,True,2,2021,,False,False,False,False,False,,True,2.0,True,2.0
ALUNO-1072,True,3,2020,,False,False,False,False,True,3.0,True,3.0,True,3.0
ALUNO-1073,True,2,2021,,False,False,False,False,False,,True,1.0,True,1.0
ALUNO-1074,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1075,True,3,2016,,True,True,True,True,True,4.0,True,5.0,True,5.0
ALUNO-1076,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1077,False,1,2020,2020.0,False,False,False,False,True,0.0,False,,False,
ALUNO-1078,True,3,2019,,False,False,False,True,True,1.0,True,2.0,True,2.0
ALUNO-1079,False,1,2019,2020.0,False,False,False,True,True,1.0,False,,False,
ALUNO-1080,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1081,False,1,2017,2020.0,False,True,True,True,True,5.0,False,,False,
ALUNO-1082,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1083,False,1,2021,2021.0,False,False,False,False,False,,True,2.0,False,
ALUNO-1084,True,3,2019,,False,False,False,True,True,0.0,True,1.0,True,1.0
ALUNO-1085,True,3,2019,,False,False,False,True,True,3.0,True,4.0,True,5.0
ALUNO-1086,False,1,2021,2021.0,False,False,False,False,False,,True,0.0,False,
ALUNO-1087,False,2,2018,2021.0,False,False,True,True,True,2.0,True,2.0,False,
ALUNO-1088,False,1,2018,2020.0,False,False,True,True,True,5.0,False,,False,
ALUNO-1089,False,2,2019,2021.0,False,False,False,True,True,0.0,True,1.0,False,
ALUNO-1090,True,3,2018,,False,False,True,True,True,1.0,True,1.0,True,1.0
ALUNO-1091,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1092,False,1,2019,2020.0,False,False,False,True,True,6.0,False,,False,
ALUNO-1093,True,3,2016,,True,True,True,True,True,5.0,True,6.0,True,7.0
ALUNO-1094,False,1,2019,2020.0,False,False,False,True,True,2.0,False,,False,
ALUNO-1095,True,3,2019,,False,False,False,True,True,0.0,True,1.0,True,1.0
ALUNO-1096,False,1,2021,2021.0,False,False,False,False,False,,True,3.0,False,
ALUNO-1097,True,2,2017,,False,True,True,True,True,3.0,False,,True,4.0
ALUNO-1098,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1099,True,2,2021,,False,False,False,False,False,,True,1.0,True,2.0
ALUNO-1100,False,1,2018,2020.0,False,False,True,True,True,8.0,False,,False,
ALUNO-1101,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1102,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1103,True,3,2016,,True,True,True,True,True,2.0,True,2.0,True,3.0
ALUNO-1104,True,2,2021,,False,False,False,False,False,,True,1.0,True,1.0
ALUNO-1105,True,3,2016,,True,True,True,True,True,1.0,True,2.0,True,2.0
ALUNO-1106,True,2,2019,,False,False,False,True,True,0.0,False,,True,2.0
ALUNO-1107,True,2,2021,,False,False,False,False,False,,True,2.0,True,3.0
ALUNO-1108,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1109,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1110,True,3,2019,,False,False,False,True,True,1.0,True,2.0,True,2.0
ALUNO-1111,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1112,False,2,2018,2021.0,False,False,True,True,True,6.0,True,7.0,False,
ALUNO-1113,True,1,2022,,False,False,False,False,False,,False,,True,7.0
ALUNO-1114,False,1,2021,2021.0,False,False,False,False,False,,True,3.0,False,
ALUNO-1115,False,1,2021,2021.0,False,False,False,False,False,,True,1.0,False,
ALUNO-1116,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1117,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1118,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1119,False,2,2019,2021.0,False,False,False,True,True,1.0,True,2.0,False,
ALUNO-1120,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1121,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1122,True,2,2021,,False,False,False,False,False,,True,4.0,True,5.0
ALUNO-1123,True,3,2019,,False,False,False,True,True,3.0,True,4.0,True,4.0
ALUNO-1124,True,2,2021,,False,False,False,False,False,,True,4.0,True,5.0
ALUNO-1125,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1126,True,2,2021,,False,False,False,False,False,,True,3.0,True,3.0
ALUNO-1127,True,3,2018,,False,False,True,True,True,2.0,True,3.0,True,3.0
ALUNO-1128,True,3,2018,,False,False,True,True,True,4.0,True,4.0,True,5.0
ALUNO-1129,False,2,2019,2021.0,False,False,False,True,True,2.0,True,2.0,False,
ALUNO-1130,True,3,2019,,False,False,False,True,True,2.0,True,2.0,True,3.0
ALUNO-1131,False,2,2019,2021.0,False,False,False,True,True,3.0,True,3.0,False,
ALUNO-1132,False,2,2019,2021.0,False,False,False,True,True,6.0,True,7.0,False,
ALUNO-1133,False,1,2019,2020.0,False,False,False,True,True,6.0,False,,False,
ALUNO-1134,False,1,2019,2020.0,False,False,False,True,True,3.0,False,,False,
ALUNO-1135,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1136,True,3,2019,,False,False,False,True,True,4.0,True,4.0,True,5.0
ALUNO-1137,False,1,2019,2020.0,False,False,False,True,True,8.0,False,,False,
ALUNO-1138,True,1,2022,,False,False,False,False,False,,False,,True,4.0
ALUNO-1139,False,2,2019,2021.0,False,False,False,True,True,2.0,True,3.0,False,
ALUNO-1140,False,1,2021,2021.0,False,False,False,False,False,,True,5.0,False,
ALUNO-1141,True,3,2019,,False,False,False,True,True,2.0,True,2.0,True,3.0
ALUNO-1142,False,1,2017,2020.0,False,True,True,True,True,6.0,False,,False,
ALUNO-1143,False,1,2021,2021.0,False,False,False,False,False,,True,0.0,False,
ALUNO-1144,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1145,False,1,2020,2020.0,False,False,False,False,True,3.0,False,,False,
ALUNO-1146,False,1,2021,2021.0,False,False,False,False,False,,True,3.0,False,
ALUNO-1147,False,1,2021,2021.0,False,False,False,False,False,,True,5.0,False,
ALUNO-1148,False,1,2018,2020.0,False,False,True,True,True,4.0,False,,False,
ALUNO-1149,False,2,2019,2021.0,False,False,False,True,True,0.0,True,0.0,False,
ALUNO-1150,True,3,2018,,False,False,True,True,True,1.0,True,1.0,True,1.0
ALUNO-1151,True,2,2021,,False,False,False,False,False,,True,3.0,True,4.0
ALUNO-1152,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1153,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1154,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1155,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1156,True,3,2019,,False,False,False,True,True,3.0,True,4.0,True,4.0
ALUNO-1157,False,1,2021,2021.0,False,False,False,False,False,,True,0.0,False,
ALUNO-1158,False,1,2019,2020.0,False,False,False,True,True,8.0,False,,False,
ALUNO-1159,True,3,2019,,False,False,False,True,True,3.0,True,5.0,True,6.0
ALUNO-1160,False,1,2021,2021.0,False,False,False,False,False,,True,4.0,False,
ALUNO-1161,True,3,2018,,False,False,True,True,True,3.0,True,3.0,True,4.0
ALUNO-1162,True,1,2022,,False,False,False,False,False,,False,,True,0.0
ALUNO-1163,True,1,2022,,False,False,False,False,False,,False,,True,7.0
ALUNO-1164,False,1,2021,2021.0,False,False,False,False,False,,True,0.0,False,
ALUNO-1165,True,3,2019,,False,False,False,True,True,2.0,True,3.0,True,4.0
ALUNO-1166,False,2,2017,2021.0,False,True,True,True,True,2.0,True,2.0,False,
ALUNO-1167,True,3,2019,,False,False,False,True,True,1.0,True,2.0,True,2.0
ALUNO-1168,True,3,2020,,False,False,False,False,True,1.0,True,1.0,True,1.0
ALUNO-1169,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1170,True,3,2019,,False,False,False,True,True,1.0,True,1.0,True,1.0
ALUNO-1171,True,3,2019,,False,False,False,True,True,3.0,True,3.0,True,4.0
ALUNO-1172,False,1,2018,2020.0,False,False,True,True,True,1.0,False,,False,
